id	name	name_zh	lang	category	tags	meaning	meaning_zh	url_wikipedia	url_imgflip	triggers_en	triggers_zh
distracted-boyfriend	Distracted Boyfriend	分心男友	en|zh	programmer|general	cn|global|programmer|general	Tempted by a new option while already committed to something	有了旧的还想看新的，喜新厌旧	https://upload.wikimedia.org/wikipedia/en/b/be/Disloyal_man_with_his_girlfriend_looking_at_another_girl.jpg	https://i.imgflip.com/1otk96.jpg	tempted|new framework|distracted|switching to	换框架|新技术|又想换了|喜新厌旧
success-kid	Success Kid	成功小子	en|zh	general|programmer	cn|global|programmer|general	A small but genuine victory, often ironic	庆祝小胜利，握拳的感觉	https://upload.wikimedia.org/wikipedia/en/f/ff/SuccessKid.jpg	https://i.imgflip.com/1bhk.jpg	it works|compiled|no error|success|finally	跑通了|编译成功|没报错|一次过|成了|终于
this-is-fine	This is Fine	一切都好	en|zh	programmer	cn|global|programmer	Everything is falling apart but pretending it's okay	一切都在崩塌但假装没事，经典程序员心态	https://upload.wikimedia.org/wikipedia/en/c/cb/This_is_fine_from_On_Fire_strip_by_KC_Green.jpg	https://i.imgflip.com/1d6t4m.jpg	this is fine|on fire|everything is fine|production down	没事|还好|挺好的|线上挂了|服务崩了
drake-hotline-bling	Drake Hotline Bling	德雷克拒绝接受	en|zh	general|programmer	cn|global|programmer|general	Rejecting one option, preferring another, binary choice comparison	二选一对比，拒绝左边接受右边		https://i.imgflip.com/30b1gx.jpg	no yes|rather|prefer|choose|drake	不要要|对比|选择|拒绝接受|二选一
roll-safe	Roll Safe	拍头思考	en|zh	general|programmer	cn|global|programmer|general	A clever-sounding but actually terrible idea, ironic wisdom	自以为聪明但其实很荒谬的推理	https://upload.wikimedia.org/wikipedia/en/7/79/Roll_Safe_meme.jpg		can't fail|brilliant idea|think about it|clever	聪明|天才|拍头|想到了|妙啊
woman-yelling-cat	Woman Yelling at Cat	女人对猫大喊	en|zh	general|programmer	cn|global|programmer|general	Dramatic argument, emotional overreaction, absurd confrontation	激烈辩论、情绪化反应、荒谬的争执	https://upload.wikimedia.org/wikipedia/en/1/1f/WomanYellingAtACat_meme.jpg		arguing|dramatic|confrontation|unbelievable|yelling	激烈|辩论|争执|情绪化|大喊大叫
hide-pain-harold	Hide the Pain Harold	隐藏痛苦的哈罗德	en|zh	general|programmer	cn|global|programmer|general	Smiling through pain, pretending everything is fine while suffering inside	表面微笑但内心崩溃	https://upload.wikimedia.org/wikipedia/en/a/a4/Hide_the_Pain_Harold_%28Andr%C3%A1s_Arat%C3%A1%29.jpg		hiding pain|fake smile|suffering inside|pretending	假装没事|微笑着崩溃|表面微笑|内心崩溃|痛苦
doge	Doge	狗狗表情	en|zh	general|programmer	cn|global|programmer|general	Confusion, surprise, innocent amazement, or ironic praise	困惑、惊讶、可爱、反讽式赞美	https://upload.wikimedia.org/wikipedia/en/5/5f/Original_Doge_meme.jpg		wow|such|much|very|doge|confused|amazed	很多困惑|哇|狗狗|惊讶|可爱|无语
expanding-brain	Expanding Brain	膨胀的大脑	en	general|programmer	global|programmer|general	Increasingly enlightened or absurd progression of ideas	越来越"高级"但其实越来越离谱的递进		https://i.imgflip.com/1jwhww.jpg	galaxy brain|expanding mind|next level|progressive	
nyan-cat	Nyan Cat	彩虹猫	en|zh	general	cn|global|general	Pure joyful nonsense, cute and meaningless happiness	无意义的快乐，卖萌，开心轻松	https://upload.wikimedia.org/wikipedia/en/e/ed/Nyan_cat_250px_frame.PNG		nyan|cat|rainbow|cute|happy|fun	彩虹猫|可爱|开心|卖萌|喵
vim-exit	How to Exit Vim	怎么退出Vim	en|zh	programmer	cn|global|programmer	Being trapped and unable to escape, classic programmer joke	被困住出不来，程序员经典笑话	https://upload.wikimedia.org/wikipedia/commons/8/8a/How_do_I_exit_Vim_Stack_Overflow.png		vim|exit vim|stuck|can't quit|how to exit	退出Vim|被困住|出不来了|怎么退出|Vim
it-works-why	It Works Why	能跑就行别问为什么	en	programmer	global|programmer	Code works but nobody knows why, don't touch it	代码能跑但没人知道为什么，别碰它		https://i.imgflip.com/2hg8ef.jpg	it works|don't touch it|no idea why|works on my machine	能跑就行|别动|不知道为什么|在我机器上是好的
wtf-per-minute	WTFs Per Minute	每分钟WTF数	en	programmer	global|programmer	Code quality measured by how many WTFs per minute it generates	代码质量用每分钟骂几次来衡量		https://i.imgflip.com/261am.jpg	wtf|code quality|bad code|legacy code	什么鬼|垃圾代码|屎山|祖传代码
code-review-guy	Code Review Guy	代码审查狂人	en	programmer	global|programmer	Someone who is overly strict or nitpicky during code review	代码审查时极其严格或吹毛求疵的人		https://i.imgflip.com/3lmzyx.jpg	code review|nitpick|requested changes|LGTM rejected	代码审查|挑刺|打回去|改了又改|LGTM不了
monday-deploy	Monday Deploy	周一部署	en	programmer	global|programmer	Deploying on Monday is universally a terrible idea	周五部署是大忌，周一也好不到哪去		https://i.imgflip.com/3si2.jpg	monday deploy|friday deploy|never deploy on|deploy day	周一部署|周五部署|别部署|部署日
stackoverflow-copy	Stack Overflow Copy	复制粘贴工程师	en	programmer	global|programmer	Programming by copying code from Stack Overflow	编程就是从 Stack Overflow 复制粘贴		https://i.imgflip.com/2otj8v.jpg	stackoverflow|copy paste|stackoverflow driven development	复制粘贴|抄的|Stack Overflow|CV工程师
